epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.28909,1.02853,2.90821,1.37971,0.00333,1,0.855,0.68951,0.63647,2.99774,1.12554,0.0002,0.0002,0.0002
2,7.82797,1.03087,2.19585,1.32212,1,0.39598,0.82577,0.52479,0.75173,2.73229,1.2001,0.000415842,0.000415842,0.000415842
3,10.3468,0.9479,1.84494,1.22018,1,0.28484,0.80294,0.61119,0.71973,2.73601,1.13649,0.000627328,0.000627328,0.000627328
4,12.9,0.94356,1.71328,1.20501,0.00333,1,0.82756,0.49421,0.89851,2.88541,1.31107,0.000834458,0.000834458,0.000834458
5,15.4573,1.02163,1.93579,1.29515,1,0.73137,0.85762,0.64371,0.94078,2.35861,1.3671,0.00103723,0.00103723,0.00103723
6,17.9836,1.12774,1.7418,1.32001,1,0.70984,0.8271,0.59756,0.91472,2.30154,1.21617,0.00123565,0.00123565,0.00123565
7,20.639,1.06811,1.81589,1.29931,0.80994,0.71429,0.79824,0.5414,1.06446,1.84083,1.57218,0.00142971,0.00142971,0.00142971
8,23.1228,0.99467,1.70085,1.28388,0.97653,0.71429,0.83441,0.4934,1.23769,2.00919,1.89423,0.00161942,0.00161942,0.00161942
9,25.7647,1.00369,1.68803,1.2892,0.83764,0.85714,0.8264,0.47824,1.20301,2.06807,1.47954,0.00180477,0.00180477,0.00180477
10,28.3442,1.03724,1.6817,1.26772,0.55408,0.85714,0.64026,0.35793,1.37112,2.13195,1.80862,0.0018218,0.0018218,0.0018218
11,30.9611,1.02841,1.64021,1.25454,0.80959,0.71429,0.71637,0.41374,1.56178,2.064,2.03965,0.001802,0.001802,0.001802
12,33.9652,1.03732,1.72111,1.30144,0.83092,0.71429,0.77021,0.46081,1.30071,1.8067,1.62196,0.0017822,0.0017822,0.0017822
13,36.5302,1.14691,1.88645,1.43729,0.83092,0.71429,0.77021,0.46081,1.30071,1.8067,1.62196,0.0017624,0.0017624,0.0017624
14,39.1952,1.05027,1.53914,1.27749,0.44654,0.57143,0.43478,0.17421,1.6807,2.52881,1.91827,0.0017426,0.0017426,0.0017426
15,41.8284,1.01751,1.63666,1.21675,0.22253,0.57143,0.33382,0.18154,2.04687,3.02307,2.46292,0.0017228,0.0017228,0.0017228
16,44.4178,1.10356,1.58373,1.31871,0.95191,0.71429,0.82918,0.44498,1.45701,2.11653,1.77923,0.001703,0.001703,0.001703
17,47.0005,1.24237,1.65501,1.38613,1,0.56364,0.76886,0.47486,1.3797,2.04848,1.61814,0.0016832,0.0016832,0.0016832
18,49.5991,1.16403,1.56612,1.31616,0.6922,0.85714,0.76695,0.5055,1.10841,1.911,1.43199,0.0016634,0.0016634,0.0016634
